"cust.ID	age-band 	Debt.To.Income.Ratio",
"48662	35-45	16.73!",
"91147	35-45	12.03!",
"10	35-45	11.93!",
"28871	35-45	20.57!",
"56361	35-45	31.46!",
"51408	35-45	14.99!",
"60353	35-45	10.87!",
"24168	35-45	12.47!",
"55717	35-45	14.96!",
"93794	35-45	13.98!",
"54689	35-45	5.43!",
"17961	35-45	19.77!",
"46324	35-45	15.34!",
"67629	35-45	6.48!",
"85220	35-45	14.89!",
"84341	35-45	6.11!",
"93780	35-45	19.92!",
"68722	35-45	0.56!",
"89844	35-45	11.18!",
"20640	35-45	7.6!",
"22444	35-45	22.42!",
"69437	35-45	14.74!",
"5733	35-45	2.84!",
"311	35-45	17!",
"65245	35-45	10.28!",
"11626	35-45	13.9!",
"49533	35-45	3.58!",
"16487	35-45	0!",
"27608	35-45	22.52!",
"53245	35-45	13.59!",
"55800	35-45	22.34!",
"46391	35-45	12.59!",
"46120	35-45	14.93!",
"49851	35-45	9.59!",
"91905	35-45	18.99!",
"77788	35-45	23.48!",
"25235	35-45	17.8!",
"33119	35-45	13.52!",
"56382	35-45	19.24!",
"76770	35-45	29.4!",
"71487	35-45	8.26!",
"59890	35-45	9.52!",
"41411	35-45	17.17!",
"99592	35-45	28.36!",
"87287	35-45	12.36!",
"97016	35-45	10.76!",
"26493	35-45	21.89!",
"95322	35-45	10.72!",
"30341	35-45	8.36!",
"98601	35-45	33.62!",
"735	35-45	12.72!",
"85370	35-45	13.57!",
"101027	35-45	18.28!",
"77588	35-45	33.24!",
"69027	35-45	10.99!",
"48356	35-45	9.29!",
"27554	35-45	11.03!",
"6987	35-45	2.37!",
"62891	35-45	27.54!",
"15631	35-45	7.07!",
"102441	35-45	21.34!",
"96897	35-45	8.11!",
"9261	35-45	7.04!",
"81785	35-45	28.89!",
"49772	35-45	16.94!",
"103355	35-45	13.11!",
"85229	35-45	10.39!",
"93066	35-45	11.59!",
"87114	35-45	21.45!",
"10262	35-45	4.95!",
"101411	35-45	16.01!",
"101987	35-45	4.34!",
"30929	35-45	15.08!",
"66186	35-45	2.51!",
"82780	35-45	11.81!",
"90356	35-45	16.36!",
"55812	35-45	12.61!",
"79478	35-45	20.46!",
"57003	35-45	9.84!",
"71142	35-45	24.88!",
"4168	35-45	2.85!",
"48166	35-45	0.94!",
"92868	35-45	4.79!",
"31448	35-45	4.26!",
"68581	35-45	32.16!",
"48151	35-45	10.58!",
"49038	35-45	3.72!",
"80638	35-45	32.1!",
"83265	35-45	14.11!",
"90491	35-45	33.23!",
"75831	35-45	29.1!",
"61042	35-45	3.87!",
"16549	35-45	22.19!",
"54073	35-45	7.32!",
"45424	35-45	9.61!",
"52929	35-45	18.15!",
"14080	35-45	17.95!",
"78437	35-45	18!",
"75477	35-45	31!",
"95560	35-45	23.56!",
"33050	35-45	19.27!",
"68139	35-45	25.84!",
"65110	35-45	22.48!",
"29803	35-45	9.19!",
"22993	35-45	7.94!",
"75600	35-45	17.34!",
"19348	35-45	18.39!",
"11648	35-45	9.06!",
"93139	35-45	10.88!",
"2443	35-45	14.06!",
"1439	35-45	24.75!",
"34831	35-45	9.79!",
"23553	35-45	4.47!",
"2578	35-45	16.14!",
"52665	35-45	15.89!",
"43307	35-45	14.32!",
"19492	35-45	15.54!",
"52639	35-45	24.21!",
"26950	35-45	14.66!",
"22200	35-45	20.92!",
"99483	35-45	21.25!",
"74981	35-45	15.19!",
"20862	35-45	19.64!",
"63266	35-45	27.89!",
"79126	35-45	4!",
"7183	35-45	12.85!",
"14595	35-45	14.8!",
"9216	35-45	14.02!",
"103033	35-45	14.31!",
"66349	35-45	15.36!",
"20263	35-45	6.49!",
"51445	35-45	15.76!",
"36497	35-45	4.32!",
"100114	35-45	23.12!",
"7020	35-45	14.3!",
"73128	35-45	4.76!",
"11620	35-45	15.45!",
"82922	35-45	9.76!",
"16593	35-45	9.02!",
"37041	35-45	0.34!",
"10761	35-45	14.26!",
"80841	35-45	8.84!",
"91989	35-45	14.29!",
"52893	35-45	13.9!",
"72655	35-45	11.18!",
"19585	35-45	8.46!",
"100595	35-45	13.59!",
"32037	35-45	15.03!",
"102356	35-45	20.6!",
"23345	35-45	26.19!",
"22130	35-45	15.33!",
"100469	35-45	14.9!",
"61697	35-45	30.15!",
"84180	35-45	9.92!",
"9762	35-45	14.57!",
"4211	35-45	23.52!",
"36163	35-45	15.38!",
"42421	35-45	11.45!",
"6723	35-45	18.89!",
"97524	35-45	18.75!",
"30788	35-45	9.95!",
"85201	35-45	6.79!",
"35161	35-45	11.03!",
"51929	35-45	11.35!",
"2807	35-45	1.49!",
"1888	35-45	8.4!",
"92641	35-45	22.49!",
"9658	35-45	15.08!",
"55478	35-45	10.8!",
"20979	35-45	6.6!",
"80144	35-45	26.68!",
"52330	35-45	18.05!",
"26652	35-45	4.04!",
"48606	35-45	11.42!",
"57866	35-45	12.44!",
"54197	35-45	16.55!",
"81508	35-45	26.56!",
"3841	35-45	16.73!",
"65250	35-45	23.7!",
"74303	35-45	21.22!",
"80765	35-45	12.56!",
"24187	35-45	9.26!",
"59413	35-45	15.53!",
"89690	35-45	27.23!",
"94593	35-45	14.22!",
"101294	35-45	13.13!",
"45980	35-45	19.07!",
"42567	35-45	12.29!",
"58576	35-45	24.3!",
"103450	35-45	13.75!",
"15899	35-45	23.94!",
"29165	35-45	5.47!",
"73956	35-45	29.13!",
"14446	35-45	20.27!",
"85485	35-45	15.07!",
"338	35-45	0.33!",
"66542	35-45	11.35!",
"92105	35-45	26.74!",
"63588	35-45	23.4!",
"63340	35-45	18.9!",
"91401	35-45	18.02!",
"87572	35-45	9.79!",
"78391	35-45	22.32!",
"3246	35-45	16.28!",
"85290	35-45	8.69!",
"26290	35-45	3.27!",
"40061	35-45	22.08!",
"36217	35-45	13.42!",
"27061	35-45	15.72!",
"28732	35-45	9.59!",
"50182	35-45	4.85!",
"26894	35-45	14.89!",
"27369	35-45	15.9!",
"88026	35-45	15.37!",
"34331	35-45	4.16!",
"59355	35-45	11.12!",
"73450	35-45	7.4!",
"65358	35-45	20.37!",
"65518	35-45	15.32!",
"41484	35-45	12.03!",
"15135	35-45	0!",
"35797	35-45	29.86!",
"37813	35-45	21.24!",
"70752	35-45	4.19!",
"54961	35-45	7.24!",
"8078	35-45	15.17!",
"52548	35-45	11.34!",
"3630	35-45	9.12!",
"5651	35-45	23.75!",
"88495	35-45	24.59!",
"19297	35-45	4.14!",
"51954	35-45	14.33!",
"1800	35-45	14.05!",
"61587	35-45	20.4!",
"58490	35-45	17.19!",
"67158	35-45	21.45!",
"6120	35-45	3.44!",
"9820	35-45	11.23!",
"83231	35-45	12.82!",
"24598	35-45	9.04!",
"10293	35-45	1.73!",
"54430	35-45	14.93!",
"20020	35-45	26.72!",
"16035	35-45	9.49!",
"39131	35-45	15.11!",
"25405	35-45	14.76!",
